user,press-0,release-0,press-1,release-1,press-2,release-2,press-3,release-3,press-4,release-4,press-5,release-5,press-6,release-6,press-7,release-7,press-8,release-8,press-9,release-9,press-10,release-10,press-11,release-11,press-12,release-12
1,0,120,216,312,424,496,592,664,808,856,1000,1072,1304,1400,1496,1544,1712,1760,1992,2064,2376,2448,2584,2632,2752,2824
1,0,95,168,265,360,455,527,599,736,807,928,999,1024,1095,1215,1271,1423,1471,1664,1711,1880,1952,2039,2111,2231,2279
1,0,71,143,231,783,903,1087,1159,1351,1454,1559,1631,1703,1799,1823,1902,2039,2111,2271,2343,2487,2559,2679,2751,2871,2926
1,0,95,144,263,353,431,760,832,1159,1207,1327,1377,1500,1591,2968,3015,3151,3223,3415,3463,3631,3703,3815,3887,3983,4055
1,0,70,166,238,310,406,526,598,710,758,878,950,926,1022,1094,1166,1310,1382,1543,1605,1734,1806,1926,1998,2086,2182
1,0,72,144,240,312,413,520,591,712,783,1024,1071,1136,1183,1304,1454,1522,1567,1770,1807,1968,2039,2160,2231,2352,2423
1,0,95,143,240,335,423,592,663,807,903,1135,1190,1232,1336,1399,1472,1615,1696,1847,1895,2063,2135,2255,2327,2423,2495
1,0,74,144,240,312,376,473,544,688,760,928,976,1016,1096,1232,1280,1424,1518,1664,1712,1872,1968,2091,2160,2280,2328
2,0,88,233,352,328,448,496,616,568,688,778,848,873,968,1016,1088,1184,1304,1305,1450,1400,1536,1489,1610,1705,1800
2,0,96,192,336,288,432,432,520,472,569,664,784,808,904,976,1096,1160,1280,1256,1404,1383,1497,1424,1544,1664,1760
2,0,95,215,335,288,484,435,527,491,567,663,742,783,855,903,975,1047,1191,1167,1280,1255,1427,1303,1465,1548,1615
2,0,96,198,336,304,425,425,544,520,616,688,784,832,904,928,1040,1113,1267,1268,1330,1352,1472,1353,1568,1664,1753
2,0,71,183,327,279,399,375,515,447,567,640,736,800,871,919,991,1111,1255,1231,1375,1351,1535,1463,1583,1703,1751
2,0,96,184,328,280,405,352,496,448,543,640,759,809,895,944,1039,1112,1256,1256,1378,1352,1534,1472,1568,1656,1751
2,0,97,192,337,289,400,377,496,448,568,640,736,809,928,1258,1328,1424,1568,1547,1664,1665,1777,1728,1824,1920,2016
2,0,119,169,335,288,431,456,575,520,616,739,835,904,975,1048,1143,1232,1375,1352,1495,1471,1618,1568,1663,1804,1879
3,0,71,167,241,312,378,447,575,543,615,735,855,856,999,1000,1087,1185,1255,1351,1423,1543,1708,1682,1720,1799,1928
3,0,96,72,168,217,288,336,456,432,504,592,736,712,808,858,954,1024,1120,1192,1256,1328,1448,1424,1497,1593,1688
3,0,73,53,138,160,256,256,376,352,448,618,736,824,924,992,1088,1164,1232,1305,1400,1488,1584,1537,1632,1728,1848
3,0,71,48,143,161,256,376,472,424,519,616,736,737,807,824,919,994,1065,1159,1255,1390,1473,1423,1519,1635,1775
3,0,72,72,144,193,264,352,448,400,496,712,832,880,976,1328,1424,1520,1593,1693,1754,1872,1992,1968,2064,2160,2256
3,0,96,72,168,192,288,433,528,504,600,712,808,882,952,1337,1424,1521,1592,1664,1760,1864,1978,1946,2024,2088,2208
3,0,73,144,234,256,338,400,496,448,544,640,760,761,832,848,944,1016,1088,1161,1287,1400,1496,1472,1545,1632,1728
3,0,94,45,117,229,301,469,541,614,709,830,965,965,1037,1133,1229,1325,1397,1493,1589,1704,1845,1806,1893,2015,2109
4,0,72,192,288,432,504,904,976,1072,1168,1304,1400,1401,1496,1736,1832,1944,2016,2064,2184,2256,2328,2424,2496,2670,2752
4,0,72,224,289,424,520,808,880,952,1040,1201,1256,1352,1400,1776,1896,2016,2088,3744,3863,3936,4008,4079,4175,4320,4415
4,0,72,240,312,424,497,712,784,904,977,1112,1224,1257,1332,1780,1896,1992,2088,2136,2256,3728,3800,3830,3937,4080,4176
4,0,62,206,288,422,494,1918,1984,2126,2222,2366,2462,3622,3694,4358,4477,4574,4646,4710,4830,4902,4974,6036,6093,6253,6349
